Name	L	T	K	F	R	N	S	LF	LF_B
Artemisia verlotiorum	9	6	3	6	7	8	0	H	S
Artemisia vulgaris	7	6	x	6	x	8	0	H, C	S
Arum maculatum agg.	3	6	2	7	7	8	0	G	V
Aruncus dioicus	4	5	4	6	x	8	0	H	S
Asarum europaeum	3	6	5	5	7	6	0	H, G	I
Asparagus officinalis	6	6	7	3~	x	4	0	G	S
Asperugo procumbens	7	6	6	4	8	9	0	T	S
Asperula arvensis	7	7	3	4	9	3	0	T	S
Asperula cynanchica	7	x	5	3	8	3	0	H	S
Asperula taurina	5	7	?	5	8	6	0	H	I
Asperula tinctoria	5	6	6	4	9	3	0	H	S
Asplenium adiantum-nigrum	6	7	2	4	2	3	0	H	I
Asplenium adulterinum	5	4	4	5	6	1	0	H	I
Asplenium x alternifolium	7	4	4	4	3	2	0	H	S
Asplenium billotii	5	6	1	5	4	?	0	H	S
Asplenium cuneifolium	6	5	4	5	6	1	0	H	S
Asplenium fissum	7	2	4	5	8	3	0	H	S
Asplenium fontanum	6	5	2	6	8	2	0	H	S
Asplenium ruta-muraria	8	x	3	3	8	2	0	H	S
Asplenium seelosii	8	2	4	3	9	1	0	H	S
Asplenium septentrionale	8	x	4	3	2	2	0	H	S
Asplenium trichomanes	5	x	3	5	x	3	0	H	I
Asplenium viride	4	4	3	6	8	?	0	H	I
Aster alpinus	9	2	5	5	7	2	0	H	W
Aster amellus	8	6	6	4	9	3	0	H	S
Aster bellidiastrum	7	3	4	5	8	4	0	H	W
Aster linosyris	8	7	5	2	8	2	0	H	S
Aster novae-angliae	7	6	5	7=	7	9	0	H	S
Aster novi-belgii agg.
Aster novi-belgii laevis	8	7	6	6	8	9	0	H	S
Aster novi-belgii lanceolatus	7	7	6	6	x	8	0	H	S
Aster novi-belgii novi-belgii	9	6	2	6=	7	9	0	H	S
Aster novi-belgii x salignus	7	6	5	6=	8	9	0	H	S
Aster novi-belgii tradescantii	7	6	2	7=	8	9	0	H	S
Aster tripolium	8	6	x	x=	7	7	8	H, T	W
Astragalus alpinus	9	2	7	4	6	?	0	H	S
Astragalus arenarius	7	7	7	2	7	1	0	H	S
Astragalus australis	9	1	8	5	7	2	0	H	S
Astragalus cicer	7	6	4	4~	9	2	0	H	S
Astragalus danicus	8	7	7	3~	9	2	0	H	S
Astragalus exscapus	7	6	6	3	9	2	0	H	S
Astragalus frigidus (Phaca frigida)	8	2	7	4	9	2	0	G	S
Astragalus glycyphyllos	6	6	4	4	7	3	0	H	S
Astragalus onobrychis	8	7	6	2	9	1	0	H	S
Astragalus penduliflorus (Phaca pendul.)	7	1	7	4	7	1	0	H	S
Astrantia bavarica	7	2	4	5	8	4	0	H	S
Astrantia major	6	4	4	6	8	5	0	H	S
Athamantha cretensis	9	3	4	4	9	2	0	H	W
Athyrium distentifolium (alpestre)	5	3	3	6	6	7	0	H	S
Athyrium filix-femina	3	x	3	7	x	6	0	H	S
Atriplex calotheca	9	6	x	6=	7	8	1	T	S
Atriplex glabriuscula	9	6	4	7=	7	9	3	T	S
Atriplex hastata (latifolia)	8	6	x	6	x	9	0	T	S
Atriplex heterosperma	9	6	8	5	x	6	0	T	S
Atriplex hortensis	7	6	x	5	7	8	0	T	S
Atriplex laciniata (sabulosa)	9	6	x	7=	7	8	2	T	S
Atriplex littoralis	9	6	x	x=	x	9	7	T	S
Atriplex longipes ssp. longipes	9	6	?	6~	x	8	5	T	S
Atriplex oblongifolia	9	7	6	4	6	6	1	T	S
Atriplex patula	6	6	x	5	7	7	0	T	S
Atriplex rosea	9	6	7	5	7	7	1	T	S
Atriplex sagittata (nitens, acuminata)	9	7	7	x	7	7	0	T	S
Atriplex tatarica	9	7	8	3	x	6	0	T	S
Atropa bella-donna	6	x	2	5	8	8	0	H	S
Aurinia saxatilis	9	7	4	2	8	1	0	C	I
Avena fatua	6	6	6	5	7	x	0	T	V
Avena nuda (strigosa)	7	x	x	5	4	5	0	T	S
Avenella flexuosa	6	x	2	x	2	3	0	H	I
Avenochloa pratensis	7	6	4	3~	x	2	0	H	S
Avenochloa pubescens	5	x	3	3	x	4	0	H	S
Avenochloa versicolor	9	2	3	5	3	2	0	H	S
Azolla caroliniana	7	7	2	11	?	7	0	A	S
Azolla filiculoides	6	8	3	11	x	8	0	A	S
Baldellia ranunculoides	8	6	1	10	x	2	1	A	S
Ballota nigra	8	6	5	5	x	8	0	C, H	W
Barbarea intermedia	8	6	2	5	x	7	0	H	W
Barbarea stricta	8	6	7	7=	7	8	0	H	W
Barbarea verna	8	6	2	5	x	6	0	H	W
